,,,Fullname,Website (or alternative listing like Facebook or health engine),Profession/Key Qualification/s
,,,Chantal Blackman,https://www.eatlovelive.com.au/chantal_blackman_apd,Accredited Practicing Dietitian
Fullname,,,Jacinta Sherlock,www.foodforlife.net.au,Accredited Practicing Dietitian
,,,Tamara Caswell,https://www.moongrovecounselling.com.au/,Certified Counsellor
Timestamp,,,Robert Wenban,www.wenban.com.au,Chiropractor
First Name,,,Fox Halliday,https://www.ponyclubgym.com/,Clinical Psychologist
Surname,,,Anine Cummins,gingercatcounselling.com.au,Counsellor
Business Name,,,Hiro McLeman,www.enbytherapy.com,Counsellor
Website (or alternative listing like Facebook or health engine),,,Maxi Xie,https://www.psychologytoday.com/au/counselling/maxi-xie-springvale-vic/923851,Counsellor
Email Address,,,Tigist Kebede,https://polapsychology.com/theteam/,Counsellor
"Other contact details, social media, etc.",,,Lauren Bradley,www.lovetherapy.com.au,Counsellor 
Profession/Key Qualification/s,,,Mithzay  Pomenta,https://www.fossickpoint.com.au/,Counsellor - ACA L4
Gender ,,,Amy  Woods,www.creativementalhealth.com.au,Counsellor & Yoga Teacher
"Suburb/s of practice (if online only, write ONLINE)",,,Alex Sutherland,inclusivetherapyvic.com.au,Counsellor and Sex Therapist
Area,,,Megan Wilson,https://unisoncounselling.com/,Counsellor/art therapist 
Do you offer rebates or other funding models?,,,Adelle Kent,www.eatlovelive.com.au,Dietitian
Languages spoken other than English,,,Korey Baruta,https://nutritionforeverybody.com.au/,Dietitian
"Types of People I see and am trained in working with, or have significant expertise in (Please only select if you have specific training/expertise, rather than a 'general interest in the area'). This does not constitute 'specialist' knowledge or official ",,,Majella Jones,https://www.eatlovelive.com.au/,Dietitian
"If there are groups who you don't have specific training in, but are willing to work with and have some knowledge/experience in, please add here.",,,Maria Spanos,https://www.mindbodywell.com.au/maria-spanos,Dietitian
"Clients I don't work with (for instance, if you don't work with individuals, adults, children...)",,,Lucija Peric,https://www.withpride.com.au/,Exercise Physiologist
Special services I deliver,,,Fiona Landford,www.couragewisdomchange.com,"Family Therapist, Counsellor"
Aspects of MY OWN lived experience (past/present) that I'm willing to make public,,,Jason Westwater,www.diversepsychiatry.com.au,"Family Therapist, GP/Doctor, Psychiatrist"
What accessibility options does your practice have?,,,Beng Eu,website,GP/Doctor
"Anything else brief that you'd like clients to know, that isn't already on your website or this form?",,,Sarah Burrowes,https://www.turnthecorner.com.au/,GP/Doctor
I confirm that I have sufficient professional indemnity insurance and public liability insurance for my practice. (Or am covered by the organisation I work for),,,Susi Fox,www.shipspsychology.com.au,GP/Doctor
"I confirm that I am the practitioner whose details are given above. I give consent for this information to be made publicly available on the VIC Inclusive Practice website, on the conditions set out at the beginning of this survey.",,,Rosie Downing,,"Midwife, nurse"
,,,Jamil Zacharia,https://jamzmusictherapy.wordpress.com/,Music Therapist
,,,Shae Louise Abel,www.withpride.com.au,Naturopath & LGBTQIA+ Inclusion Trainer
,,,Tara Broughan,www.megandtara.com,O
,,,Carmen Marom,https://www.soundosteopathy.com.au,Osteopath
,,,Drew Carr,www.wholebeinghealthcollective.com.au,Osteopath
,,,Phoebe Smithies,,Physiotherapist 
,,,Jhocelyn Jobe,https://www.mindup.com.au/,Provisional Psychologist
,,,Fintan Harte,,Psychiatrist
,,,Richard Harvey,https://telepsychiatrist.online,Psychiatrist
,,,Aaron Howearth,www.HowearthPsychology.com.au,Psychologist
,,,Alicia Allanson,www.connectpsychology.com.au,Psychologist
,,,Amy Neale,www.empowerrehab.com.au,Psychologist
